"filename", "language", "Java Properties", "Gradle", "Log", "Batch", "XML", "Java", "CSS", "java", "comment", "blank", "total"
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid11385.log", "Log", 0, 0, 29, 0, 0, 0, 0, 0, 0, 9, 38
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid11876.log", "Log", 0, 0, 24, 0, 0, 0, 0, 0, 0, 7, 31
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid13829.log", "Log", 0, 0, 27, 0, 0, 0, 0, 0, 0, 10, 37
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid18059.log", "Log", 0, 0, 31, 0, 0, 0, 0, 0, 0, 10, 41
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid4140.log", "Log", 0, 0, 26, 0, 0, 0, 0, 0, 0, 10, 36
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid5324.log", "Log", 0, 0, 30, 0, 0, 0, 0, 0, 0, 10, 40
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid5627.log", "Log", 0, 0, 28, 0, 0, 0, 0, 0, 0, 9, 37
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid5851.log", "Log", 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid6217.log", "Log", 0, 0, 28, 0, 0, 0, 0, 0, 0, 9, 37
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid6651.log", "Log", 0, 0, 27, 0, 0, 0, 0, 0, 0, 9, 36
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid6723.log", "Log", 0, 0, 28, 0, 0, 0, 0, 0, 0, 9, 37
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid7105.log", "Log", 0, 0, 27, 0, 0, 0, 0, 0, 0, 10, 37
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid7281.log", "Log", 0, 0, 25, 0, 0, 0, 0, 0, 0, 10, 35
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid7578.log", "Log", 0, 0, 39, 0, 0, 0, 0, 0, 0, 11, 50
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid7983.log", "Log", 0, 0, 37, 0, 0, 0, 0, 0, 0, 10, 47
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid8428.log", "Log", 0, 0, 29, 0, 0, 0, 0, 0, 0, 10, 39
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid8871.log", "Log", 0, 0, 35, 0, 0, 0, 0, 0, 0, 10, 45
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid9144.log", "Log", 0, 0, 24, 0, 0, 0, 0, 0, 0, 8, 32
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid9298.log", "Log", 0, 0, 32, 0, 0, 0, 0, 0, 0, 11, 43
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid9550.log", "Log", 0, 0, 25, 0, 0, 0, 0, 0, 0, 9, 34
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid9679.log", "Log", 0, 0, 27, 0, 0, 0, 0, 0, 0, 9, 36
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/hs_err_pid9958.log", "Log", 0, 0, 28, 0, 0, 0, 0, 0, 0, 10, 38
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/Main.java", "Java", 0, 0, 0, 0, 0, 16, 0, 0, 12, 5, 33
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/app/App.java", "Java", 0, 0, 0, 0, 0, 70, 0, 0, 0, 26, 96
